"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Colombia","All sexes All ages estimate","2011","UNAIDS_Spectrum Estimates_","Number","122193",""
"Colombia","All sexes All ages estimate","2010","UNAIDS_Spectrum Estimates_","Number","122980",""
"Colombia","All sexes All ages estimate","2009","UNAIDS_Spectrum Estimates_","Number","124132",""
"Colombia","All sexes All ages estimate","2008","UNAIDS_Spectrum Estimates_","Number","125095",""
"Colombia","All sexes All ages estimate","2007","UNAIDS_Spectrum Estimates_","Number","125140",""
"Colombia","All sexes All ages estimate","2006","UNAIDS_Spectrum Estimates_","Number","124479",""
"Colombia","All sexes All ages estimate","2005","UNAIDS_Spectrum Estimates_","Number","124705",""
"Colombia","All sexes All ages estimate","2004","UNAIDS_Spectrum Estimates_","Number","124707",""
"Colombia","All sexes All ages estimate","2003","UNAIDS_Spectrum Estimates_","Number","124299",""
"Colombia","All sexes All ages estimate","2002","UNAIDS_Spectrum Estimates_","Number","123400",""
"Colombia","All sexes All ages estimate","2001","UNAIDS_Spectrum Estimates_","Number","121928",""
"Colombia","All sexes All ages estimate","2000","UNAIDS_Spectrum Estimates_","Number","119434",""
"Colombia","All sexes All ages estimate","1999","UNAIDS_Spectrum Estimates_","Number","115354",""
"Colombia","All sexes All ages estimate","1998","UNAIDS_Spectrum Estimates_","Number","108303",""
"Colombia","All sexes All ages estimate","1997","UNAIDS_Spectrum Estimates_","Number","95719",""
"Colombia","All sexes All ages estimate","1996","UNAIDS_Spectrum Estimates_","Number","77734",""
"Colombia","All sexes All ages estimate","1995","UNAIDS_Spectrum Estimates_","Number","58406",""
"Colombia","All sexes All ages estimate","1994","UNAIDS_Spectrum Estimates_","Number","43546",""
"Colombia","All sexes All ages estimate","1993","UNAIDS_Spectrum Estimates_","Number","33393",""
"Colombia","All sexes All ages estimate","1992","UNAIDS_Spectrum Estimates_","Number","25671",""
"Colombia","All sexes All ages estimate","1991","UNAIDS_Spectrum Estimates_","Number","19442",""
"Colombia","All sexes All ages estimate","1990","UNAIDS_Spectrum Estimates_","Number","14175",""
"Colombia","All sexes All ages lower estimate","2014","UNAIDS_Spectrum Estimates_","Number","95795",""
"Colombia","All sexes All ages lower estimate","2013","UNAIDS_Spectrum Estimates_","Number","95244",""
"Colombia","All sexes All ages lower estimate","2012","UNAIDS_Spectrum Estimates_","Number","95169",""
"Colombia","All sexes All ages lower estimate","2011","UNAIDS_Spectrum Estimates_","Number","95361",""
"Colombia","All sexes All ages lower estimate","2010","UNAIDS_Spectrum Estimates_","Number","96525",""
"Colombia","All sexes All ages lower estimate","2009","UNAIDS_Spectrum Estimates_","Number","97404",""
"Colombia","All sexes All ages lower estimate","2008","UNAIDS_Spectrum Estimates_","Number","98065",""
"Colombia","All sexes All ages lower estimate","2007","UNAIDS_Spectrum Estimates_","Number","98143",""
"Colombia","All sexes All ages lower estimate","2006","UNAIDS_Spectrum Estimates_","Number","97701",""
"Colombia","All sexes All ages lower estimate","2005","UNAIDS_Spectrum Estimates_","Number","97857",""
"Colombia","All sexes All ages lower estimate","2004","UNAIDS_Spectrum Estimates_","Number","97806",""
"Colombia","All sexes All ages lower estimate","2003","UNAIDS_Spectrum Estimates_","Number","97391",""
"Colombia","All sexes All ages lower estimate","2002","UNAIDS_Spectrum Estimates_","Number","96363",""
"Colombia","All sexes All ages lower estimate","2001","UNAIDS_Spectrum Estimates_","Number","95278",""
"Colombia","All sexes All ages lower estimate","2000","UNAIDS_Spectrum Estimates_","Number","93085",""
"Colombia","All sexes All ages lower estimate","1999","UNAIDS_Spectrum Estimates_","Number","88868",""
"Colombia","All sexes All ages lower estimate","1998","UNAIDS_Spectrum Estimates_","Number","82181",""
"Colombia","All sexes All ages lower estimate","1997","UNAIDS_Spectrum Estimates_","Number","70353",""
"Colombia","All sexes All ages lower estimate","1996","UNAIDS_Spectrum Estimates_","Number","55936",""
"Colombia","All sexes All ages lower estimate","1995","UNAIDS_Spectrum Estimates_","Number","41553",""
"Colombia","All sexes All ages lower estimate","1994","UNAIDS_Spectrum Estimates_","Number","30984",""
"Colombia","All sexes All ages lower estimate","1993","UNAIDS_Spectrum Estimates_","Number","23682",""
"Colombia","All sexes All ages lower estimate","1992","UNAIDS_Spectrum Estimates_","Number","17427",""
"Colombia","All sexes All ages lower estimate","1991","UNAIDS_Spectrum Estimates_","Number","12474",""
"Colombia","All sexes All ages lower estimate","1990","UNAIDS_Spectrum Estimates_","Number","8384",""
"Colombia","All sexes All ages upper estimate","2014","UNAIDS_Spectrum Estimates_","Number","161722",""
"Colombia","All sexes All ages upper estimate","2013","UNAIDS_Spectrum Estimates_","Number","159226",""
"Colombia","All sexes All ages upper estimate","2012","UNAIDS_Spectrum Estimates_","Number","157327",""
"Colombia","All sexes All ages upper estimate","2011","UNAIDS_Spectrum Estimates_","Number","156797",""
"Colombia","All sexes All ages upper estimate","2010","UNAIDS_Spectrum Estimates_","Number","155464",""
"Colombia","All sexes All ages upper estimate","2009","UNAIDS_Spectrum Estimates_","Number","156687",""
"Colombia","All sexes All ages upper estimate","2008","UNAIDS_Spectrum Estimates_","Number","157134",""
"Colombia","All sexes All ages upper estimate","2007","UNAIDS_Spectrum Estimates_","Number","156843",""
"Colombia","All sexes All ages upper estimate","2006","UNAIDS_Spectrum Estimates_","Number","155714",""
"Colombia","All sexes All ages upper estimate","2005","UNAIDS_Spectrum Estimates_","Number","154742",""
"Colombia","All sexes All ages upper estimate","2004","UNAIDS_Spectrum Estimates_","Number","154096",""
"Colombia","All sexes All ages upper estimate","2003","UNAIDS_Spectrum Estimates_","Number","152934",""
"Colombia","All sexes All ages upper estimate","2002","UNAIDS_Spectrum Estimates_","Number","151485",""
"Colombia","All sexes All ages upper estimate","2001","UNAIDS_Spectrum Estimates_","Number","149714",""
"Colombia","All sexes All ages upper estimate","2000","UNAIDS_Spectrum Estimates_","Number","147885",""
"Colombia","All sexes All ages upper estimate","1999","UNAIDS_Spectrum Estimates_","Number","144913",""
"Colombia","All sexes All ages upper estimate","1998","UNAIDS_Spectrum Estimates_","Number","136504",""
"Colombia","All sexes All ages upper estimate","1997","UNAIDS_Spectrum Estimates_","Number","122712",""
"Colombia","All sexes All ages upper estimate","1996","UNAIDS_Spectrum Estimates_","Number","103395",""
"Colombia","All sexes All ages upper estimate","1995","UNAIDS_Spectrum Estimates_","Number","82921",""
"Colombia","All sexes All ages upper estimate","1994","UNAIDS_Spectrum Estimates_","Number","69706",""
"Colombia","All sexes All ages upper estimate","1993","UNAIDS_Spectrum Estimates_","Number","56302",""
"Colombia","All sexes All ages upper estimate","1992","UNAIDS_Spectrum Estimates_","Number","47728",""
"Colombia","All sexes All ages upper estimate","1991","UNAIDS_Spectrum Estimates_","Number","40898",""
"Colombia","All sexes All ages upper estimate","1990","UNAIDS_Spectrum Estimates_","Number","31875",""
"Colombia","Females Adults (15+) estimate","2014","UNAIDS_Spectrum Estimates_","Number","37685",""
"Colombia","Females Adults (15+) estimate","2013","UNAIDS_Spectrum Estimates_","Number","38164",""
"Colombia","Females Adults (15+) estimate","2012","UNAIDS_Spectrum Estimates_","Number","39022",""
"Colombia","Females Adults (15+) estimate","2011","UNAIDS_Spectrum Estimates_","Number","39976",""
"Colombia","Females Adults (15+) estimate","2010","UNAIDS_Spectrum Estimates_","Number","41102",""
"Colombia","Females Adults (15+) estimate","2009","UNAIDS_Spectrum Estimates_","Number","42268",""
"Colombia","Females Adults (15+) estimate","2008","UNAIDS_Spectrum Estimates_","Number","43323",""
"Colombia","Females Adults (15+) estimate","2007","UNAIDS_Spectrum Estimates_","Number","44118",""
"Colombia","Females Adults (15+) estimate","2006","UNAIDS_Spectrum Estimates_","Number","44738",""
"Colombia","Females Adults (15+) estimate","2005","UNAIDS_Spectrum Estimates_","Number","45544",""
"Colombia","Females Adults (15+) estimate","2004","UNAIDS_Spectrum Estimates_","Number","46182",""
"Colombia","Females Adults (15+) estimate","2003","UNAIDS_Spectrum Estimates_","Number","46588",""
"Colombia","Females Adults (15+) estimate","2002","UNAIDS_Spectrum Estimates_","Number","46694",""
"Colombia","Females Adults (15+) estimate","2001","UNAIDS_Spectrum Estimates_","Number","46435",""
"Colombia","Females Adults (15+) estimate","2000","UNAIDS_Spectrum Estimates_","Number","45736",""
"Colombia","Females Adults (15+) estimate","1999","UNAIDS_Spectrum Estimates_","Number","44414",""
"Colombia","Females Adults (15+) estimate","1998","UNAIDS_Spectrum Estimates_","Number","42341",""
"Colombia","Females Adults (15+) estimate","1997","UNAIDS_Spectrum Estimates_","Number","39289",""
"Colombia","Females Adults (15+) estimate","1996","UNAIDS_Spectrum Estimates_","Number","35447",""
"Colombia","Females Adults (15+) estimate","1995","UNAIDS_Spectrum Estimates_","Number","30964",""
"Colombia","Females Adults (15+) estimate","1994","UNAIDS_Spectrum Estimates_","Number","26354",""
"Colombia","Females Adults (15+) estimate","1993","UNAIDS_Spectrum Estimates_","Number","21913",""
"Colombia","Females Adults (15+) estimate","1992","UNAIDS_Spectrum Estimates_","Number","17565",""
"Colombia","Females Adults (15+) estimate","1991","UNAIDS_Spectrum Estimates_","Number","13594",""
"Colombia","Females Adults (15+) estimate","1990","UNAIDS_Spectrum Estimates_","Number","10052",""
"Colombia","Females Adults (15+) lower estimate","2014","UNAIDS_Spectrum Estimates_","Number","29323",""
"Colombia","Females Adults (15+) lower estimate","2013","UNAIDS_Spectrum Estimates_","Number","29760",""
"Colombia","Females Adults (15+) lower estimate","2012","UNAIDS_Spectrum Estimates_","Number","30562",""
